roundid,formula1,formula2,formula3,formula4,result
1702918437.19662,B,A,Null,B,Player B
1703903462.991683,B,A,B,B,Player A
1703304537.4285715,A,A,Null,B,Player A
1703161555.3159811,A,A,Null,A,Player B
1702796758.9019775,B,A,Null,B,Player B
1704342827.3416693,B,A,Null,B,Player A
1703193305.4351826,B,A,Null,B,Player A
1703750309.4610891,B,A,Null,B,Player B
1703119107.9187453,B,A,Null,B,Player A
1702855607.9238,B,B,Null,B,Player A
1704008477.0009415,A,A,Null,B,Player B
1703372691.947177,A,A,Null,A,Player A
1702848106.390206,A,A,Null,B,Player A
1703157516.8673198,B,B,Null,B,Player B
1703066590.625466,B,A,Null,A,Player B
1704299967.4526856,B,B,Null,B,Player B
1704344343.0159476,B,B,Null,B,Player B
1702965773.7454727,B,A,A,B,Player B
1702929845.1902668,B,A,Null,B,Player B
1704018040.018009,B,A,B,B,Player A
1703459101.895455,B,A,Null,A,Player A
1703447003.9961712,B,B,Null,B,Player A
1703591174.425659,B,A,Null,B,Player B
1703077375.7871342,B,A,Null,B,Player B
1704119955.9933693,A,A,Null,B,Player A
1702638614.8127923,B,B,Null,B,Player A
1703057774.0013912,B,B,Null,B,Player A
1704224499.347587,B,A,A,B,Player A
1702788869.009643,B,B,Null,B,Player B
1703448017.3380601,B,A,A,B,Player A
1703184293.6233275,A,A,Null,B,Player B
1703442862.783203,B,A,B,B,Player A
1702906905.6767194,B,B,Null,B,Player A
1704351255.9469535,A,A,Null,B,Player B
1703022159.0502653,A,A,Null,B,Player A
1704272004.350633,B,A,Null,A,Player B
1702914568.0273468,A,A,Null,B,Player A
1704006377.5716872,B,A,A,B,Player B
1704336026.1786158,B,A,B,B,Player B
1703155748.663955,B,A,Null,A,Player A
1703777839.67329,B,A,A,B,Player A
1702960565.7948513,B,A,Null,B,Player B
1703863452.3496807,B,B,Null,B,Player B
1704066137.3401365,B,A,A,B,Player B
1703076706.66527,B,A,B,B,Player A
1704327787.1823905,B,B,Null,B,Player A
1703243754.980828,B,A,Null,B,Player B
1702968335.8491657,A,A,Null,B,Player A
1702910084.8053315,B,A,Null,B,Player B
1703457089.0928168,B,A,Null,B,Player A
1703606410.5332196,B,B,Null,B,Player B
1703047716.2297935,B,A,Null,B,Player B
1703565628.1011798,B,A,B,B,Player A
1703514369.9689078,B,B,Null,B,Player B
1702838789.0819051,B,A,Null,B,Player B
1703354822.7822907,B,A,B,B,Player B
1703739295.1100047,B,A,A,B,Player B
1703607120.1690788,A,A,Null,A,Player B
1703245527.4469223,B,B,Null,B,Player B
1702952301.6466875,B,A,Null,B,Player A
1704328068.0567381,B,A,B,B,Player B
1703307268.5842216,B,A,B,B,Player B
1703153198.208342,B,A,Null,B,Player A
1703046182.9560568,A,A,Null,B,Player B
1703827446.866285,B,A,B,B,Player B
1704345746.1645677,B,A,Null,A,Player A
1703664120.0825553,B,A,Null,B,Player B
1702643130.1020153,B,A,Null,B,Player B
1704271228.8423178,B,A,B,B,Player A
1702825667.6206949,B,B,Null,B,Player B
1703598576.3854759,B,A,Null,B,Player A
1703182936.0077426,B,A,Null,B,Player B
1703417573.7599018,B,A,A,B,Player A
1703268190.040656,B,B,Null,B,Player B
1703645320.6243002,A,A,Null,B,Player B
1703798958.8432477,B,A,Null,A,Player A
1703203127.098975,B,A,Null,B,Player A
1703735062.4329543,B,A,B,B,Player B
1702919542.6620028,A,A,Null,B,Player B
1703556113.8452623,B,A,A,B,Player A
1702935082.8674939,B,A,Null,B,Player A
1703014075.1538124,B,A,Null,B,Player B
1702975890.9544046,B,A,Null,B,Player A
1703117716.6516812,B,B,Null,B,Player B
1702906138.0912302,B,A,Null,B,Player B
1703734413.248013,A,A,Null,B,Player B
1704347750.4583645,B,B,Null,B,Player A
1704050817.3651767,B,A,A,B,Player B
1703153944.9477274,B,A,B,B,Player B
1704355231.7147655,A,A,Null,A,Player B
1704342239.2381563,B,A,A,B,Player B
1703320156.543728,B,A,Null,B,Player B
1703398775.8520975,A,A,Null,B,Player B
1703151993.7466867,B,A,A,B,Player A
1703132941.8430908,B,A,Null,B,Player A
1703072685.6986628,B,A,Null,B,Player B
1703850776.5882933,B,A,Null,A,Player B
1703739846.071279,B,A,Null,B,Player A
1702918521.2103736,B,B,Null,B,Player B
1703115566.8222115,B,A,Null,B,Player B
1704115969.68709,B,B,Null,B,Player B
1703956095.1575327,B,A,A,B,Player A
1703013643.5493026,B,A,Null,B,Player B
1703032340.988634,B,A,B,B,Player A
1704169180.2997744,A,A,Null,A,Player B
1703999291.4391484,B,A,Null,B,Player A
1702820610.21727,B,B,Null,B,Player B
1704214466.6446798,B,A,B,B,Player A
1703243408.2715113,B,A,Null,B,Player A
1704092524.3473632,B,A,B,B,Player A
1704332797.7273157,A,A,Null,B,Player B
1703918558.506229,B,B,Null,B,Player A
1703116401.6360962,B,A,Null,B,Player B
1704108582.441572,B,A,B,B,Player A
1703615060.639891,B,A,Null,B,Player B
1704352299.2670286,B,A,Null,B,Player B
1704111328.578133,B,A,Null,A,Player A
1703693685.0207899,B,A,Null,A,Player A
1702876111.1882377,A,A,Null,A,Player B
1704161033.3962598,B,A,A,B,Player A
1703162151.8556464,B,A,Null,B,Player A
1703079838.2199044,B,A,Null,A,Player A
1704242548.0823045,B,A,B,B,Player B
