POS,Players,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Virat Kohli,223,215,32,6624,113,36.2,5129,129.15,5,44,578,218
2,Shikhar Dhawan,206,205,27,6244,106*,35.08,4942,126.35,2,47,701,136
3,David Warner,162,162,22,5881,126,42.01,4180,140.69,4,54,561,211
4,Rohit Sharma,227,222,28,5879,109*,30.3,4526,129.89,1,40,519,240
5,Suresh Raina,205,200,30,5528,100*,32.52,4042,136.76,1,39,506,203
6,AB de Villiers,184,170,40,5162,133*,39.7,3403,151.68,3,40,413,251
7,MS Dhoni,234,206,79,4978,84*,39.2,3682,135.2,0,24,346,229
8,Chris Gayle,142,141,16,4965,175*,39.72,3333,148.96,6,31,405,357
9,Robin Uthappa,205,197,17,4952,88,27.51,3799,130.35,0,27,481,182
10,Dinesh Karthik,229,208,45,4376,97*,26.85,3299,132.65,0,19,406,125
11,Gautam Gambhir,154,152,16,4217,93,31,3404,123.88,0,36,492,59
12,Ambati Rayudu,188,175,31,4190,100*,29.1,3296,127.12,1,22,349,164
13,Ajinkya Rahane,158,148,16,4074,105*,30.86,3376,120.68,2,28,431,80
14,KL Rahul,109,100,19,3889,132*,48.01,2855,136.22,4,31,327,164
15,Shane Watson,145,141,16,3874,117*,30.99,2809,137.91,4,21,376,190
16,Manish Pandey,160,149,27,3648,114*,29.9,3002,121.52,1,21,318,105
17,Sanju Samson,138,134,13,3526,119,29.14,2598,135.72,3,17,279,158
18,Kieron Pollard,189,171,52,3412,87*,28.67,2316,147.32,0,16,218,223
19,Faf du Plessis,116,109,10,3403,96,34.37,2606,130.58,0,25,314,109
20,Yusuf Pathan,174,154,44,3204,100,29.13,2241,142.97,1,13,262,158
21,Brendon McCullum,109,109,5,2880,158*,27.69,2186,131.75,2,13,293,130
22,Parthiv Patel,139,137,11,2848,81,22.6,2358,120.78,0,13,365,49
23,Rishabh Pant,98,97,15,2838,128*,34.61,1918,147.97,1,15,260,129
24,Jos Buttler,82,81,10,2831,124,39.87,1891,149.71,5,15,277,135
25,Shreyas Iyer,101,101,13,2776,96,31.55,2214,125.38,0,19,237,99
26,Quinton de Kock,92,92,6,2764,140*,32.14,2064,133.91,2,19,277,106
27,Yuvraj Singh,132,126,15,2750,83,24.77,2120,129.72,0,13,217,149
28,Virender Sehwag,104,104,5,2728,122,27.55,1755,155.44,2,16,334,106
29,Suryakumar Yadav,123,107,20,2644,82,30.39,1933,136.78,0,16,284,84
30,Murali Vijay,106,106,5,2619,127,25.93,2149,121.87,2,13,247,91
31,Ravindra Jadeja,210,161,67,2502,62*,26.62,1961,127.59,0,2,182,90
32,Steve Smith,103,93,21,2485,101,34.51,1940,128.09,1,11,225,60
33,Shaun Marsh,71,69,7,2477,115,39.95,1866,132.74,1,20,266,78
34,David Miller,105,101,35,2455,101*,37.2,1783,137.69,1,12,169,113
35,Jacques Kallis,98,96,11,2427,89,28.55,2222,109.23,0,17,255,44
